lap,name,number,pit,rawtime,strtime
1,Stoffel VANDOORNE,2,True,0.0,00:00:00
2,Stoffel VANDOORNE,2,True,1344.853,22:24.853
3,Stoffel VANDOORNE,2,False,353.237,5:53.237
4,Stoffel VANDOORNE,2,False,112.505,1:52.505
5,Stoffel VANDOORNE,2,False,136.7,2:16.700
6,Stoffel VANDOORNE,2,True,151.82,2:31.820
7,Stoffel VANDOORNE,2,False,454.418,7:34.418
8,Stoffel VANDOORNE,2,False,109.545,1:49.545
9,Stoffel VANDOORNE,2,False,120.317,2:00.317
10,Stoffel VANDOORNE,2,False,117.308,1:57.308
11,Stoffel VANDOORNE,2,False,107.967,1:47.967
12,Stoffel VANDOORNE,2,True,140.413,2:20.413
13,Stoffel VANDOORNE,2,False,1341.201,22:21.201
14,Stoffel VANDOORNE,2,False,108.883,1:48.883
15,Stoffel VANDOORNE,2,False,109.746,1:49.746
16,Stoffel VANDOORNE,2,False,128.467,2:08.467
17,Stoffel VANDOORNE,2,False,108.574,1:48.574
18,Stoffel VANDOORNE,2,False,123.48,2:03.480
19,Stoffel VANDOORNE,2,False,108.466,1:48.466
20,Stoffel VANDOORNE,2,False,125.607,2:05.607
21,Stoffel VANDOORNE,2,True,129.727,2:09.727
1,Daniel RICCIARDO,3,True,26.0,00:00:26
2,Daniel RICCIARDO,3,True,169.114,2:49.114
3,Daniel RICCIARDO,3,False,943.68,15:43.680
4,Daniel RICCIARDO,3,False,108.72,1:48.720
5,Daniel RICCIARDO,3,False,107.354,1:47.354
6,Daniel RICCIARDO,3,False,106.336,1:46.336
7,Daniel RICCIARDO,3,False,114.5,1:54.500
8,Daniel RICCIARDO,3,False,109.786,1:49.786
9,Daniel RICCIARDO,3,False,105.369,1:45.369
10,Daniel RICCIARDO,3,True,143.611,2:23.611
11,Daniel RICCIARDO,3,False,1303.96,21:43.960
12,Daniel RICCIARDO,3,False,107.719,1:47.719
13,Daniel RICCIARDO,3,False,105.15,1:45.150
14,Daniel RICCIARDO,3,False,132.11,2:12.110
15,Daniel RICCIARDO,3,False,104.638,1:44.638
16,Daniel RICCIARDO,3,False,126.407,2:06.407
17,Daniel RICCIARDO,3,False,104.277,1:44.277
18,Daniel RICCIARDO,3,True,130.554,2:10.554
19,Daniel RICCIARDO,3,False,781.143,13:01.143
20,Daniel RICCIARDO,3,False,108.33,1:48.330
21,Daniel RICCIARDO,3,False,107.75,1:47.750
22,Daniel RICCIARDO,3,False,107.771,1:47.771
23,Daniel RICCIARDO,3,False,107.726,1:47.726
24,Daniel RICCIARDO,3,True,112.56,1:52.560
1,Sebastian VETTEL,5,True,3.0,00:00:03
2,Sebastian VETTEL,5,False,1304.051,21:44.051
3,Sebastian VETTEL,5,False,111.683,1:51.683
4,Sebastian VETTEL,5,False,110.012,1:50.012
5,Sebastian VETTEL,5,False,131.414,2:11.414
6,Sebastian VETTEL,5,False,119.582,1:59.582
7,Sebastian VETTEL,5,True,142.853,2:22.853
8,Sebastian VETTEL,5,False,1971.167,32:51.167
9,Sebastian VETTEL,5,False,106.84,1:46.840
10,Sebastian VETTEL,5,False,124.461,2:04.461
11,Sebastian VETTEL,5,False,107.007,1:47.007
12,Sebastian VETTEL,5,False,126.043,2:06.043
13,Sebastian VETTEL,5,False,114.196,1:54.196
14,Sebastian VETTEL,5,False,106.513,1:46.513
15,Sebastian VETTEL,5,True,126.783,2:06.783
16,Sebastian VETTEL,5,True,146.744,2:26.744
17,Sebastian VETTEL,5,False,429.739,7:09.739
18,Sebastian VETTEL,5,True,116.865,1:56.865
1,Kimi RAIKKONEN,7,False,5.0,00:00:05
2,Kimi RAIKKONEN,7,True,119.855,1:59.855
3,Kimi RAIKKONEN,7,False,1268.205,21:08.205
4,Kimi RAIKKONEN,7,False,109.763,1:49.763
5,Kimi RAIKKONEN,7,False,119.455,1:59.455
6,Kimi RAIKKONEN,7,False,110.401,1:50.401
7,Kimi RAIKKONEN,7,True,128.168,2:08.168
8,Kimi RAIKKONEN,7,False,890.865,14:50.865
9,Kimi RAIKKONEN,7,False,106.861,1:46.861
10,Kimi RAIKKONEN,7,True,114.973,1:54.973
1,Romain GROSJEAN,8,True,11.0,00:00:11
2,Romain GROSJEAN,8,False,1203.499,20:03.499
3,Romain GROSJEAN,8,False,108.12,1:48.120
4,Romain GROSJEAN,8,False,109.019,1:49.019
5,Romain GROSJEAN,8,False,109.112,1:49.112
6,Romain GROSJEAN,8,False,108.191,1:48.191
7,Romain GROSJEAN,8,False,110.578,1:50.578
8,Romain GROSJEAN,8,False,108.388,1:48.388
9,Romain GROSJEAN,8,True,151.757,2:31.757
10,Romain GROSJEAN,8,False,1062.775,17:42.775
11,Romain GROSJEAN,8,False,113.265,1:53.265
12,Romain GROSJEAN,8,False,108.885,1:48.885
13,Romain GROSJEAN,8,False,107.978,1:47.978
14,Romain GROSJEAN,8,False,117.057,1:57.057
15,Romain GROSJEAN,8,False,117.398,1:57.398
16,Romain GROSJEAN,8,True,130.999,2:10.999
17,Romain GROSJEAN,8,False,1007.613,16:47.613
18,Romain GROSJEAN,8,False,107.81,1:47.810
19,Romain GROSJEAN,8,False,106.963,1:46.963
20,Romain GROSJEAN,8,False,115.021,1:55.021
21,Romain GROSJEAN,8,False,106.918,1:46.918
22,Romain GROSJEAN,8,False,106.856,1:46.856
23,Romain GROSJEAN,8,True,129.688,2:09.688
1,Marcus ERICSSON,9,True,9.0,00:00:09
2,Marcus ERICSSON,9,True,166.784,2:46.784
3,Marcus ERICSSON,9,False,1251.988,20:51.988
4,Marcus ERICSSON,9,False,113.447,1:53.447
5,Marcus ERICSSON,9,False,112.183,1:52.183
6,Marcus ERICSSON,9,False,110.951,1:50.951
7,Marcus ERICSSON,9,False,118.246,1:58.246
8,Marcus ERICSSON,9,True,150.368,2:30.368
9,Marcus ERICSSON,9,False,1111.39,18:31.390
10,Marcus ERICSSON,9,False,109.412,1:49.412
11,Marcus ERICSSON,9,False,130.981,2:10.981
12,Marcus ERICSSON,9,False,116.737,1:56.737
13,Marcus ERICSSON,9,False,107.818,1:47.818
14,Marcus ERICSSON,9,False,130.146,2:10.146
15,Marcus ERICSSON,9,False,107.073,1:47.073
16,Marcus ERICSSON,9,True,131.439,2:11.439
17,Marcus ERICSSON,9,False,986.798,16:26.798
18,Marcus ERICSSON,9,False,108.657,1:48.657
19,Marcus ERICSSON,9,False,131.421,2:11.421
20,Marcus ERICSSON,9,False,108.455,1:48.455
21,Marcus ERICSSON,9,True,131.745,2:11.745
1,Pierre GASLY,10,True,48.0,00:00:48
2,Pierre GASLY,10,False,1588.835,26:28.835
3,Pierre GASLY,10,False,114.959,1:54.959
4,Pierre GASLY,10,False,110.424,1:50.424
5,Pierre GASLY,10,False,146.149,2:26.149
6,Pierre GASLY,10,True,152.416,2:32.416
7,Pierre GASLY,10,False,648.733,10:48.733
8,Pierre GASLY,10,False,107.98,1:47.980
9,Pierre GASLY,10,False,119.237,1:59.237
10,Pierre GASLY,10,False,117.527,1:57.527
11,Pierre GASLY,10,False,107.456,1:47.456
12,Pierre GASLY,10,True,132.107,2:12.107
13,Pierre GASLY,10,False,861.4,14:21.400
14,Pierre GASLY,10,False,107.368,1:47.368
15,Pierre GASLY,10,True,123.089,2:03.089
16,Pierre GASLY,10,False,680.033,11:20.033
