lap,name,number,pit,rawtime,strtime
1,Stoffel VANDOORNE,2,False,22.0,00:00:22
2,Stoffel VANDOORNE,2,False,119.659,1:59.659
3,Stoffel VANDOORNE,2,True,122.786,2:02.786
4,Stoffel VANDOORNE,2,False,289.026,4:49.026
5,Stoffel VANDOORNE,2,False,104.574,1:44.574
6,Stoffel VANDOORNE,2,False,119.161,1:59.161
7,Stoffel VANDOORNE,2,False,104.489,1:44.489
8,Stoffel VANDOORNE,2,True,132.445,2:12.445
1,Daniel RICCIARDO,3,False,208.0,00:03:28
2,Daniel RICCIARDO,3,False,103.259,1:43.259
3,Daniel RICCIARDO,3,False,124.325,2:04.325
4,Daniel RICCIARDO,3,False,103.886,1:43.886
5,Daniel RICCIARDO,3,False,116.931,1:56.931
6,Daniel RICCIARDO,3,False,102.857,1:42.857
7,Daniel RICCIARDO,3,True,123.691,2:03.691
8,Daniel RICCIARDO,3,False,656.709,10:56.709
9,Daniel RICCIARDO,3,False,103.482,1:43.482
10,Daniel RICCIARDO,3,False,120.5,2:00.500
11,Daniel RICCIARDO,3,True,111.305,1:51.305
12,Daniel RICCIARDO,3,False,358.477,5:58.477
13,Daniel RICCIARDO,3,False,106.653,1:46.653
14,Daniel RICCIARDO,3,True,137.441,2:17.441
15,Daniel RICCIARDO,3,False,396.797,6:36.797
16,Daniel RICCIARDO,3,False,102.443,1:42.443
17,Daniel RICCIARDO,3,True,121.702,2:01.702
18,Daniel RICCIARDO,3,False,357.09,5:57.090
19,Daniel RICCIARDO,3,False,101.911,1:41.911
1,Sebastian VETTEL,5,False,19.0,00:00:19
2,Sebastian VETTEL,5,False,119.286,1:59.286
3,Sebastian VETTEL,5,False,116.76,1:56.760
4,Sebastian VETTEL,5,False,103.129,1:43.129
5,Sebastian VETTEL,5,False,128.796,2:08.796
6,Sebastian VETTEL,5,False,102.762,1:42.762
7,Sebastian VETTEL,5,True,125.482,2:05.482
8,Sebastian VETTEL,5,False,797.428,13:17.428
9,Sebastian VETTEL,5,False,113.161,1:53.161
10,Sebastian VETTEL,5,False,103.015,1:43.015
11,Sebastian VETTEL,5,True,139.51,2:19.510
12,Sebastian VETTEL,5,False,333.114,5:33.114
13,Sebastian VETTEL,5,False,105.566,1:45.566
14,Sebastian VETTEL,5,True,134.005,2:14.005
15,Sebastian VETTEL,5,False,464.463,7:44.463
16,Sebastian VETTEL,5,False,101.498,1:41.498
17,Sebastian VETTEL,5,True,125.322,2:05.322
18,Sebastian VETTEL,5,False,331.463,5:31.463
1,Kimi RAIKKONEN,7,False,29.0,00:00:29
2,Kimi RAIKKONEN,7,False,117.816,1:57.816
3,Kimi RAIKKONEN,7,False,117.475,1:57.475
4,Kimi RAIKKONEN,7,False,102.985,1:42.985
5,Kimi RAIKKONEN,7,False,123.986,2:03.986
6,Kimi RAIKKONEN,7,False,102.538,1:42.538
7,Kimi RAIKKONEN,7,True,122.939,2:02.939
8,Kimi RAIKKONEN,7,False,804.544,13:24.544
9,Kimi RAIKKONEN,7,False,119.965,1:59.965
10,Kimi RAIKKONEN,7,False,115.579,1:55.579
11,Kimi RAIKKONEN,7,True,186.607,3:06.607
12,Kimi RAIKKONEN,7,False,269.916,4:29.916
13,Kimi RAIKKONEN,7,False,102.51,1:42.510
14,Kimi RAIKKONEN,7,True,130.622,2:10.622
15,Kimi RAIKKONEN,7,False,462.168,7:42.168
16,Kimi RAIKKONEN,7,False,102.49,1:42.490
17,Kimi RAIKKONEN,7,True,123.888,2:03.888
18,Kimi RAIKKONEN,7,False,317.871,5:17.871
19,Kimi RAIKKONEN,7,False,102.566,1:42.566
1,Romain GROSJEAN,8,False,11.0,00:00:11
1,Marcus ERICSSON,9,False,0.0,00:00:00
2,Marcus ERICSSON,9,False,107.044,1:47.044
3,Marcus ERICSSON,9,False,130.19,2:10.190
4,Marcus ERICSSON,9,False,105.702,1:45.702
5,Marcus ERICSSON,9,False,130.408,2:10.408
6,Marcus ERICSSON,9,False,105.541,1:45.541
7,Marcus ERICSSON,9,False,132.085,2:12.085
8,Marcus ERICSSON,9,False,141.21,2:21.210
9,Marcus ERICSSON,9,False,110.719,1:50.719
10,Marcus ERICSSON,9,True,145.218,2:25.218
1,Pierre GASLY,10,False,15.0,00:00:15
2,Pierre GASLY,10,False,105.609,1:45.609
3,Pierre GASLY,10,False,127.312,2:07.312
4,Pierre GASLY,10,False,104.496,1:44.496
5,Pierre GASLY,10,True,125.833,2:05.833
6,Pierre GASLY,10,False,240.023,4:00.023
7,Pierre GASLY,10,False,176.922,2:56.922
8,Pierre GASLY,10,False,105.41,1:45.410
9,Pierre GASLY,10,True,133.856,2:13.856
1,Sergio PEREZ,11,False,200.0,00:03:20
2,Sergio PEREZ,11,False,104.666,1:44.666
3,Sergio PEREZ,11,False,122.947,2:02.947
4,Sergio PEREZ,11,False,121.74,2:01.740
5,Sergio PEREZ,11,False,127.114,2:07.114
6,Sergio PEREZ,11,False,103.992,1:43.992
7,Sergio PEREZ,11,True,140.144,2:20.144
8,Sergio PEREZ,11,False,612.512,10:12.512
9,Sergio PEREZ,11,False,104.356,1:44.356
10,Sergio PEREZ,11,False,137.56,2:17.560
11,Sergio PEREZ,11,True,120.577,2:00.577
12,Sergio PEREZ,11,False,272.665,4:32.665
13,Sergio PEREZ,11,False,103.366,1:43.366
14,Sergio PEREZ,11,True,144.894,2:24.894
15,Sergio PEREZ,11,False,467.109,7:47.109
16,Sergio PEREZ,11,False,102.699,1:42.699
17,Sergio PEREZ,11,True,124.966,2:04.966
18,Sergio PEREZ,11,False,283.985,4:43.985
19,Sergio PEREZ,11,False,102.547,1:42.547
1,Fernando ALONSO,14,False,34.0,00:00:34
2,Fernando ALONSO,14,False,121.025,2:01.025
3,Fernando ALONSO,14,False,115.717,1:55.717
4,Fernando ALONSO,14,True,110.505,1:50.505
5,Fernando ALONSO,14,False,235.278,3:55.278
6,Fernando ALONSO,14,False,104.01,1:44.010
7,Fernando ALONSO,14,False,122.683,2:02.683
8,Fernando ALONSO,14,True,109.761,1:49.761
9,Fernando ALONSO,14,False,551.205,9:11.205
10,Fernando ALONSO,14,False,113.563,1:53.563
11,Fernando ALONSO,14,False,104.061,1:44.061
12,Fernando ALONSO,14,True,127.177,2:07.177
13,Fernando ALONSO,14,False,299.534,4:59.534
14,Fernando ALONSO,14,False,111.042,1:51.042
15,Fernando ALONSO,14,False,104.019,1:44.019
16,Fernando ALONSO,14,True,117.983,1:57.983
1,Charles LECLERC,16,False,2.0,00:00:02
2,Charles LECLERC,16,False,105.463,1:45.463
3,Charles LECLERC,16,False,132.46,2:12.460
4,Charles LECLERC,16,False,104.464,1:44.464
5,Charles LECLERC,16,True,125.031,2:05.031
6,Charles LECLERC,16,False,209.178,3:29.178
7,Charles LECLERC,16,False,104.471,1:44.471
8,Charles LECLERC,16,False,126.006,2:06.006
9,Charles LECLERC,16,False,103.752,1:43.752
10,Charles LECLERC,16,True,129.042,2:09.042
11,Charles LECLERC,16,False,418.38,6:58.380
12,Charles LECLERC,16,True,112.965,1:52.965
13,Charles LECLERC,16,False,300.145,5:00.145
14,Charles LECLERC,16,False,104.074,1:44.074
15,Charles LECLERC,16,False,125.63,2:05.630
16,Charles LECLERC,16,False,104.197,1:44.197
17,Charles LECLERC,16,True,130.884,2:10.884
1,Lance STROLL,18,False,50.0,00:00:50
2,Lance STROLL,18,False,105.195,1:45.195
3,Lance STROLL,18,False,125.508,2:05.508
4,Lance STROLL,18,True,119.267,1:59.267
5,Lance STROLL,18,False,331.917,5:31.917
6,Lance STROLL,18,False,104.824,1:44.824
7,Lance STROLL,18,False,115.203,1:55.203
8,Lance STROLL,18,False,104.359,1:44.359
9,Lance STROLL,18,True,123.283,2:03.283
10,Lance STROLL,18,False,357.515,5:57.515
11,Lance STROLL,18,True,153.378,2:33.378
12,Lance STROLL,18,False,343.126,5:43.126
13,Lance STROLL,18,False,103.737,1:43.737
14,Lance STROLL,18,False,115.03,1:55.030
15,Lance STROLL,18,False,103.585,1:43.585
16,Lance STROLL,18,True,131.715,2:11.715
1,Kevin MAGNUSSEN,20,False,6.0,00:00:06
2,Kevin MAGNUSSEN,20,False,105.178,1:45.178
3,Kevin MAGNUSSEN,20,False,132.741,2:12.741
4,Kevin MAGNUSSEN,20,False,103.674,1:43.674
5,Kevin MAGNUSSEN,20,True,124.268,2:04.268
6,Kevin MAGNUSSEN,20,False,212.057,3:32.057
7,Kevin MAGNUSSEN,20,False,120.795,2:00.795
8,Kevin MAGNUSSEN,20,False,104.304,1:44.304
9,Kevin MAGNUSSEN,20,True,123.031,2:03.031
10,Kevin MAGNUSSEN,20,False,656.557,10:56.557
11,Kevin MAGNUSSEN,20,False,104.759,1:44.759
12,Kevin MAGNUSSEN,20,True,126.397,2:06.397
13,Kevin MAGNUSSEN,20,False,259.479,4:19.479
14,Kevin MAGNUSSEN,20,True,136.836,2:16.836
1,Nico HULKENBERG,27,False,63.0,00:01:03
2,Nico HULKENBERG,27,False,104.694,1:44.694
3,Nico HULKENBERG,27,False,130.871,2:10.871
4,Nico HULKENBERG,27,False,103.975,1:43.975
5,Nico HULKENBERG,27,True,123.355,2:03.355
6,Nico HULKENBERG,27,False,284.802,4:44.802
7,Nico HULKENBERG,27,False,103.746,1:43.746
8,Nico HULKENBERG,27,True,123.716,2:03.716
9,Nico HULKENBERG,27,False,510.441,8:30.441
10,Nico HULKENBERG,27,False,103.904,1:43.904
11,Nico HULKENBERG,27,True,122.439,2:02.439
12,Nico HULKENBERG,27,False,410.54,6:50.540
13,Nico HULKENBERG,27,False,103.232,1:43.232
14,Nico HULKENBERG,27,True,145.15,2:25.150
15,Nico HULKENBERG,27,False,464.858,7:44.858
16,Nico HULKENBERG,27,False,103.565,1:43.565
17,Nico HULKENBERG,27,True,120.827,2:00.827
18,Nico HULKENBERG,27,False,293.425,4:53.425
19,Nico HULKENBERG,27,False,103.066,1:43.066
1,Brendon HARTLEY,28,False,32.0,00:00:32
2,Brendon HARTLEY,28,False,117.354,1:57.354
3,Brendon HARTLEY,28,True,124.643,2:04.643
4,Brendon HARTLEY,28,False,439.877,7:19.877
5,Brendon HARTLEY,28,True,182.466,3:02.466
1,Esteban OCON,31,False,104.0,00:01:44
2,Esteban OCON,31,False,103.929,1:43.929
3,Esteban OCON,31,False,124.444,2:04.444
4,Esteban OCON,31,False,103.021,1:43.021
5,Esteban OCON,31,False,130.034,2:10.034
6,Esteban OCON,31,True,112.008,1:52.008
7,Esteban OCON,31,False,822.484,13:42.484
8,Esteban OCON,31,False,103.174,1:43.174
9,Esteban OCON,31,False,133.695,2:13.695
10,Esteban OCON,31,False,103.515,1:43.515
11,Esteban OCON,31,True,127.987,2:07.987
12,Esteban OCON,31,False,258.862,4:18.862
13,Esteban OCON,31,False,102.967,1:42.967
14,Esteban OCON,31,True,146.616,2:26.616
15,Esteban OCON,31,False,401.935,6:41.935
16,Esteban OCON,31,False,102.523,1:42.523
17,Esteban OCON,31,True,119.924,1:59.924
18,Esteban OCON,31,False,273.546,4:33.546
19,Esteban OCON,31,False,103.013,1:43.013
1,Max VERSTAPPEN,33,False,206.0,00:03:26
2,Max VERSTAPPEN,33,False,103.607,1:43.607
3,Max VERSTAPPEN,33,False,124.677,2:04.677
4,Max VERSTAPPEN,33,False,103.164,1:43.164
5,Max VERSTAPPEN,33,False,116.499,1:56.499
6,Max VERSTAPPEN,33,False,102.642,1:42.642
7,Max VERSTAPPEN,33,True,123.125,2:03.125
8,Max VERSTAPPEN,33,False,648.906,10:48.906
9,Max VERSTAPPEN,33,False,102.901,1:42.901
10,Max VERSTAPPEN,33,False,115.207,1:55.207
11,Max VERSTAPPEN,33,True,112.048,1:52.048
12,Max VERSTAPPEN,33,False,358.941,5:58.941
13,Max VERSTAPPEN,33,True,110.93,1:50.930
14,Max VERSTAPPEN,33,False,541.825,9:01.825
15,Max VERSTAPPEN,33,False,102.017,1:42.017
16,Max VERSTAPPEN,33,True,117.609,1:57.609
17,Max VERSTAPPEN,33,False,369.297,6:09.297
18,Max VERSTAPPEN,33,False,101.994,1:41.994
1,Sergey SIROTKIN,35,False,57.0,00:00:57
2,Sergey SIROTKIN,35,False,105.138,1:45.138
3,Sergey SIROTKIN,35,False,130.898,2:10.898
4,Sergey SIROTKIN,35,False,104.261,1:44.261
5,Sergey SIROTKIN,35,True,127.276,2:07.276
6,Sergey SIROTKIN,35,False,217.751,3:37.751
7,Sergey SIROTKIN,35,False,104.411,1:44.411
8,Sergey SIROTKIN,35,False,112.028,1:52.028
9,Sergey SIROTKIN,35,True,128.623,2:08.623
10,Sergey SIROTKIN,35,False,427.792,7:07.792
11,Sergey SIROTKIN,35,False,104.026,1:44.026
12,Sergey SIROTKIN,35,True,124.162,2:04.162
13,Sergey SIROTKIN,35,False,252.49,4:12.490
14,Sergey SIROTKIN,35,False,104.787,1:44.787
15,Sergey SIROTKIN,35,False,122.177,2:02.177
16,Sergey SIROTKIN,35,False,103.886,1:43.886
17,Sergey SIROTKIN,35,True,128.105,2:08.105
1,Lewis HAMILTON,44,False,44.0,00:00:44
2,Lewis HAMILTON,44,False,109.359,1:49.359
3,Lewis HAMILTON,44,False,122.29,2:02.290
4,Lewis HAMILTON,44,False,103.269,1:43.269
5,Lewis HAMILTON,44,False,118.182,1:58.182
6,Lewis HAMILTON,44,False,102.693,1:42.693
7,Lewis HAMILTON,44,True,121.602,2:01.602
8,Lewis HAMILTON,44,False,803.953,13:23.953
9,Lewis HAMILTON,44,False,104.466,1:44.466
10,Lewis HAMILTON,44,False,112.116,1:52.116
11,Lewis HAMILTON,44,False,102.676,1:42.676
12,Lewis HAMILTON,44,True,128.296,2:08.296
13,Lewis HAMILTON,44,False,282.694,4:42.694
14,Lewis HAMILTON,44,True,112.507,1:52.507
15,Lewis HAMILTON,44,False,526.604,8:46.604
16,Lewis HAMILTON,44,False,101.84,1:41.840
17,Lewis HAMILTON,44,True,121.685,2:01.685
18,Lewis HAMILTON,44,False,266.913,4:26.913
19,Lewis HAMILTON,44,False,101.677,1:41.677
20,Lewis HAMILTON,44,False,146.117,2:26.117
1,Carlos SAINZ,55,False,53.0,00:00:53
2,Carlos SAINZ,55,False,105.844,1:45.844
3,Carlos SAINZ,55,False,131.557,2:11.557
