lap,name,number,pit,rawtime,strtime
1,Stoffel VANDOORNE,2,False,643.0,00:10:43
2,Stoffel VANDOORNE,2,False,91.812,1:31.812
3,Stoffel VANDOORNE,2,False,128.379,2:08.379
4,Stoffel VANDOORNE,2,False,92.276,1:32.276
5,Stoffel VANDOORNE,2,False,125.841,2:05.841
6,Stoffel VANDOORNE,2,False,92.444,1:32.444
7,Stoffel VANDOORNE,2,True,106.934,1:46.934
8,Stoffel VANDOORNE,2,False,811.96,13:31.960
9,Stoffel VANDOORNE,2,False,91.422,1:31.422
10,Stoffel VANDOORNE,2,False,119.921,1:59.921
11,Stoffel VANDOORNE,2,False,92.35,1:32.350
12,Stoffel VANDOORNE,2,True,109.548,1:49.548
13,Stoffel VANDOORNE,2,True,696.715,11:36.715
14,Stoffel VANDOORNE,2,False,139.673,2:19.673
15,Stoffel VANDOORNE,2,False,96.183,1:36.183
16,Stoffel VANDOORNE,2,False,96.198,1:36.198
17,Stoffel VANDOORNE,2,False,96.81,1:36.810
18,Stoffel VANDOORNE,2,False,96.752,1:36.752
19,Stoffel VANDOORNE,2,False,97.272,1:37.272
20,Stoffel VANDOORNE,2,False,97.087,1:37.087
21,Stoffel VANDOORNE,2,False,97.173,1:37.173
22,Stoffel VANDOORNE,2,False,97.214,1:37.214
23,Stoffel VANDOORNE,2,False,97.431,1:37.431
24,Stoffel VANDOORNE,2,False,97.34,1:37.340
25,Stoffel VANDOORNE,2,False,98.037,1:38.037
26,Stoffel VANDOORNE,2,False,97.609,1:37.609
27,Stoffel VANDOORNE,2,True,99.885,1:39.885
28,Stoffel VANDOORNE,2,False,121.305,2:01.305
29,Stoffel VANDOORNE,2,False,96.345,1:36.345
30,Stoffel VANDOORNE,2,False,95.995,1:35.995
31,Stoffel VANDOORNE,2,False,96.269,1:36.269
32,Stoffel VANDOORNE,2,False,95.545,1:35.545
33,Stoffel VANDOORNE,2,False,96.239,1:36.239
34,Stoffel VANDOORNE,2,False,96.135,1:36.135
35,Stoffel VANDOORNE,2,True,127.622,2:07.622
1,Daniel RICCIARDO,3,False,636.0,00:10:36
2,Daniel RICCIARDO,3,False,90.751,1:30.751
3,Daniel RICCIARDO,3,False,141.107,2:21.107
4,Daniel RICCIARDO,3,True,98.085,1:38.085
5,Daniel RICCIARDO,3,False,930.094,15:30.094
6,Daniel RICCIARDO,3,False,114.027,1:54.027
7,Daniel RICCIARDO,3,False,90.823,1:30.823
8,Daniel RICCIARDO,3,True,115.882,1:55.882
9,Daniel RICCIARDO,3,False,1002.804,16:42.804
10,Daniel RICCIARDO,3,False,95.182,1:35.182
11,Daniel RICCIARDO,3,False,95.536,1:35.536
12,Daniel RICCIARDO,3,False,95.503,1:35.503
13,Daniel RICCIARDO,3,False,95.797,1:35.797
14,Daniel RICCIARDO,3,False,95.758,1:35.758
15,Daniel RICCIARDO,3,False,95.882,1:35.882
16,Daniel RICCIARDO,3,False,96.257,1:36.257
17,Daniel RICCIARDO,3,True,99.524,1:39.524
