lap,name,number,pit,rawtime,strtime
1,Stoffel VANDOORNE,2,False,368.0,00:06:08
2,Stoffel VANDOORNE,2,False,90.823,1:30.823
3,Stoffel VANDOORNE,2,True,113.376,1:53.376
4,Stoffel VANDOORNE,2,False,709.999,11:49.999
5,Stoffel VANDOORNE,2,False,90.479,1:30.479
6,Stoffel VANDOORNE,2,True,118.573,1:58.573
7,Stoffel VANDOORNE,2,False,636.853,10:36.853
8,Stoffel VANDOORNE,2,False,90.766,1:30.766
9,Stoffel VANDOORNE,2,True,113.4,1:53.400
10,Stoffel VANDOORNE,2,False,334.223,5:34.223
11,Stoffel VANDOORNE,2,False,90.525,1:30.525
12,Stoffel VANDOORNE,2,True,122.575,2:02.575
1,Daniel RICCIARDO,3,False,393.0,00:06:33
2,Daniel RICCIARDO,3,False,89.552,1:29.552
3,Daniel RICCIARDO,3,True,114.25,1:54.250
4,Daniel RICCIARDO,3,False,1536.249,25:36.249
5,Daniel RICCIARDO,3,False,88.962,1:28.962
6,Daniel RICCIARDO,3,True,120.6,2:00.600
7,Daniel RICCIARDO,3,False,1094.923,18:14.923
8,Daniel RICCIARDO,3,False,88.41,1:28.410
9,Daniel RICCIARDO,3,True,105.678,1:45.678
10,Daniel RICCIARDO,3,False,301.508,5:01.508
11,Daniel RICCIARDO,3,False,88.398,1:28.398
1,Sebastian VETTEL,5,False,249.0,00:04:09
2,Sebastian VETTEL,5,False,89.06,1:29.060
3,Sebastian VETTEL,5,True,137.809,2:17.809
4,Sebastian VETTEL,5,False,1596.162,26:36.162
5,Sebastian VETTEL,5,False,88.341,1:28.341
6,Sebastian VETTEL,5,True,120.871,2:00.871
7,Sebastian VETTEL,5,False,1117.834,18:37.834
8,Sebastian VETTEL,5,False,88.196,1:28.196
9,Sebastian VETTEL,5,True,113.488,1:53.488
10,Sebastian VETTEL,5,False,312.25,5:12.250
11,Sebastian VETTEL,5,False,87.958,1:27.958
12,Sebastian VETTEL,5,False,120.73,2:00.730
1,Kimi RAIKKONEN,7,False,222.0,00:03:42
2,Kimi RAIKKONEN,7,False,88.951,1:28.951
3,Kimi RAIKKONEN,7,True,107.322,1:47.322
4,Kimi RAIKKONEN,7,False,1666.58,27:46.580
5,Kimi RAIKKONEN,7,False,88.515,1:28.515
6,Kimi RAIKKONEN,7,True,112.656,1:52.656
7,Kimi RAIKKONEN,7,False,1127.827,18:47.827
8,Kimi RAIKKONEN,7,False,88.101,1:28.101
9,Kimi RAIKKONEN,7,True,107.657,1:47.657
10,Kimi RAIKKONEN,7,False,327.941,5:27.941
11,Kimi RAIKKONEN,7,False,88.31,1:28.310
12,Kimi RAIKKONEN,7,False,109.304,1:49.304
1,Romain GROSJEAN,8,False,156.0,00:02:36
2,Romain GROSJEAN,8,False,91.205,1:31.205
3,Romain GROSJEAN,8,False,125.991,2:05.991
4,Romain GROSJEAN,8,True,125.072,2:05.072
5,Romain GROSJEAN,8,False,827.116,13:47.116
6,Romain GROSJEAN,8,False,90.53,1:30.530
7,Romain GROSJEAN,8,True,120.769,2:00.769
