lap,name,number,pit,rawtime,strtime
1,Stoffel VANDOORNE,2,False,649.0,00:10:49
2,Stoffel VANDOORNE,2,False,95.777,1:35.777
3,Stoffel VANDOORNE,2,False,119.118,1:59.118
4,Stoffel VANDOORNE,2,False,95.882,1:35.882
5,Stoffel VANDOORNE,2,True,115.05,1:55.050
6,Stoffel VANDOORNE,2,False,1077.433,17:57.433
7,Stoffel VANDOORNE,2,False,95.163,1:35.163
8,Stoffel VANDOORNE,2,True,126.298,2:06.298
9,Stoffel VANDOORNE,2,True,698.04,11:38.040
10,Stoffel VANDOORNE,2,False,142.902,2:22.902
11,Stoffel VANDOORNE,2,False,99.409,1:39.409
12,Stoffel VANDOORNE,2,False,99.424,1:39.424
13,Stoffel VANDOORNE,2,False,99.498,1:39.498
14,Stoffel VANDOORNE,2,False,99.358,1:39.358
15,Stoffel VANDOORNE,2,False,99.77,1:39.770
16,Stoffel VANDOORNE,2,False,99.721,1:39.721
17,Stoffel VANDOORNE,2,False,100.065,1:40.065
18,Stoffel VANDOORNE,2,False,99.977,1:39.977
19,Stoffel VANDOORNE,2,False,100.393,1:40.393
20,Stoffel VANDOORNE,2,False,100.112,1:40.112
21,Stoffel VANDOORNE,2,True,105.052,1:45.052
1,Daniel RICCIARDO,3,False,705.0,00:11:45
2,Daniel RICCIARDO,3,False,95.199,1:35.199
3,Daniel RICCIARDO,3,False,126.404,2:06.404
4,Daniel RICCIARDO,3,False,95.094,1:35.094
5,Daniel RICCIARDO,3,False,131.087,2:11.087
6,Daniel RICCIARDO,3,False,94.737,1:34.737
7,Daniel RICCIARDO,3,True,115.554,1:55.554
8,Daniel RICCIARDO,3,False,742.618,12:22.618
9,Daniel RICCIARDO,3,False,94.557,1:34.557
10,Daniel RICCIARDO,3,True,129.588,2:09.588
11,Daniel RICCIARDO,3,False,870.011,14:30.011
12,Daniel RICCIARDO,3,False,99.268,1:39.268
13,Daniel RICCIARDO,3,False,98.826,1:38.826
14,Daniel RICCIARDO,3,False,99.21,1:39.210
15,Daniel RICCIARDO,3,False,99.128,1:39.128
16,Daniel RICCIARDO,3,False,101.276,1:41.276
17,Daniel RICCIARDO,3,False,99.293,1:39.293
18,Daniel RICCIARDO,3,False,99.217,1:39.217
19,Daniel RICCIARDO,3,True,105.771,1:45.771
20,Daniel RICCIARDO,3,False,139.224,2:19.224
21,Daniel RICCIARDO,3,False,98.749,1:38.749
22,Daniel RICCIARDO,3,False,98.369,1:38.369
23,Daniel RICCIARDO,3,False,98.305,1:38.305
24,Daniel RICCIARDO,3,False,100.789,1:40.789
25,Daniel RICCIARDO,3,False,99.697,1:39.697
26,Daniel RICCIARDO,3,True,108.973,1:48.973
1,Sebastian VETTEL,5,True,327.0,00:05:27
2,Sebastian VETTEL,5,False,362.086,6:02.086
3,Sebastian VETTEL,5,False,95.262,1:35.262
4,Sebastian VETTEL,5,False,106.326,1:46.326
5,Sebastian VETTEL,5,False,94.41,1:34.410
6,Sebastian VETTEL,5,True,118.202,1:58.202
7,Sebastian VETTEL,5,False,885.691,14:45.691
8,Sebastian VETTEL,5,False,93.59,1:33.590
9,Sebastian VETTEL,5,False,125.108,2:05.108
10,Sebastian VETTEL,5,True,103.363,1:43.363
11,Sebastian VETTEL,5,True,142.992,2:22.992
12,Sebastian VETTEL,5,True,687.075,11:27.075
13,Sebastian VETTEL,5,False,139.167,2:19.167
14,Sebastian VETTEL,5,False,98.651,1:38.651
15,Sebastian VETTEL,5,False,98.813,1:38.813
16,Sebastian VETTEL,5,False,99.317,1:39.317
17,Sebastian VETTEL,5,False,100.259,1:40.259
18,Sebastian VETTEL,5,False,100.41,1:40.410
19,Sebastian VETTEL,5,False,100.348,1:40.348
20,Sebastian VETTEL,5,True,106.384,1:46.384
21,Sebastian VETTEL,5,False,137.287,2:17.287
22,Sebastian VETTEL,5,False,98.557,1:38.557
23,Sebastian VETTEL,5,False,98.427,1:38.427
24,Sebastian VETTEL,5,False,98.115,1:38.115
25,Sebastian VETTEL,5,False,102.754,1:42.754
26,Sebastian VETTEL,5,True,107.222,1:47.222
27,Sebastian VETTEL,5,True,134.817,2:14.817
1,Kimi RAIKKONEN,7,True,363.0,00:06:03
2,Kimi RAIKKONEN,7,False,506.766,8:26.766
3,Kimi RAIKKONEN,7,False,94.584,1:34.584
4,Kimi RAIKKONEN,7,False,115.841,1:55.841
5,Kimi RAIKKONEN,7,False,94.311,1:34.311
6,Kimi RAIKKONEN,7,False,110.062,1:50.062
7,Kimi RAIKKONEN,7,False,94.063,1:34.063
8,Kimi RAIKKONEN,7,True,108.859,1:48.859
9,Kimi RAIKKONEN,7,False,862.595,14:22.595
10,Kimi RAIKKONEN,7,False,93.489,1:33.489
11,Kimi RAIKKONEN,7,False,128.661,2:08.661
12,Kimi RAIKKONEN,7,False,93.989,1:33.989
13,Kimi RAIKKONEN,7,True,109.794,1:49.794
14,Kimi RAIKKONEN,7,True,154.864,2:34.864
15,Kimi RAIKKONEN,7,True,642.118,10:42.118
16,Kimi RAIKKONEN,7,False,135.861,2:15.861
17,Kimi RAIKKONEN,7,False,98.696,1:38.696
18,Kimi RAIKKONEN,7,False,98.769,1:38.769
19,Kimi RAIKKONEN,7,False,99.321,1:39.321
20,Kimi RAIKKONEN,7,True,105.355,1:45.355
21,Kimi RAIKKONEN,7,False,120.429,2:00.429
22,Kimi RAIKKONEN,7,False,98.981,1:38.981
23,Kimi RAIKKONEN,7,False,99.106,1:39.106
24,Kimi RAIKKONEN,7,False,103.994,1:43.994
25,Kimi RAIKKONEN,7,False,103.891,1:43.891
26,Kimi RAIKKONEN,7,True,109.372,1:49.372
1,Romain GROSJEAN,8,False,0.0,00:00:00
2,Romain GROSJEAN,8,False,96.927,1:36.927
3,Romain GROSJEAN,8,False,96.83,1:36.830
4,Romain GROSJEAN,8,False,121.658,2:01.658
5,Romain GROSJEAN,8,False,103.262,1:43.262
6,Romain GROSJEAN,8,False,96.471,1:36.471
7,Romain GROSJEAN,8,False,109.067,1:49.067
8,Romain GROSJEAN,8,False,96.83,1:36.830
9,Romain GROSJEAN,8,True,120.934,2:00.934
10,Romain GROSJEAN,8,False,1124.249,18:44.249
11,Romain GROSJEAN,8,False,108.169,1:48.169
12,Romain GROSJEAN,8,False,109.186,1:49.186
13,Romain GROSJEAN,8,True,109.118,1:49.118
14,Romain GROSJEAN,8,False,1202.458,20:02.458
15,Romain GROSJEAN,8,False,99.251,1:39.251
16,Romain GROSJEAN,8,False,99.798,1:39.798
17,Romain GROSJEAN,8,False,100.131,1:40.131
18,Romain GROSJEAN,8,False,100.231,1:40.231
19,Romain GROSJEAN,8,False,100.528,1:40.528
20,Romain GROSJEAN,8,True,105.386,1:45.386
21,Romain GROSJEAN,8,False,121.977,2:01.977
22,Romain GROSJEAN,8,False,99.272,1:39.272
23,Romain GROSJEAN,8,False,98.886,1:38.886
24,Romain GROSJEAN,8,False,103.376,1:43.376
