lap,name,number,pit,rawtime,strtime
1,Stoffel VANDOORNE,2,False,355.0,00:05:55
2,Stoffel VANDOORNE,2,False,94.416,1:34.416
3,Stoffel VANDOORNE,2,True,114.167,1:54.167
4,Stoffel VANDOORNE,2,False,307.531,5:07.531
5,Stoffel VANDOORNE,2,False,93.824,1:33.824
6,Stoffel VANDOORNE,2,True,118.993,1:58.993
7,Stoffel VANDOORNE,2,False,469.32,7:49.320
8,Stoffel VANDOORNE,2,False,93.505,1:33.505
9,Stoffel VANDOORNE,2,True,115.456,1:55.456
10,Stoffel VANDOORNE,2,False,390.916,6:30.916
11,Stoffel VANDOORNE,2,True,111.723,1:51.723
1,Daniel RICCIARDO,3,False,882.0,00:14:42
2,Daniel RICCIARDO,3,False,93.877,1:33.877
3,Daniel RICCIARDO,3,True,120.767,2:00.767
4,Daniel RICCIARDO,3,False,521.527,8:41.527
5,Daniel RICCIARDO,3,False,92.688,1:32.688
6,Daniel RICCIARDO,3,True,130.822,2:10.822
7,Daniel RICCIARDO,3,False,1083.493,18:03.493
8,Daniel RICCIARDO,3,False,91.948,1:31.948
9,Daniel RICCIARDO,3,True,115.216,1:55.216
10,Daniel RICCIARDO,3,False,292.322,4:52.322
11,Daniel RICCIARDO,3,False,92.342,1:32.342
12,Daniel RICCIARDO,3,True,121.134,2:01.134
1,Sebastian VETTEL,5,False,193.0,00:03:13
2,Sebastian VETTEL,5,False,92.171,1:32.171
3,Sebastian VETTEL,5,True,120.648,2:00.648
4,Sebastian VETTEL,5,False,1153.377,19:13.377
5,Sebastian VETTEL,5,False,92.385,1:32.385
6,Sebastian VETTEL,5,True,125.509,2:05.509
7,Sebastian VETTEL,5,False,401.409,6:41.409
8,Sebastian VETTEL,5,True,102.24,1:42.240
9,Sebastian VETTEL,5,False,632.652,10:32.652
10,Sebastian VETTEL,5,False,91.361,1:31.361
11,Sebastian VETTEL,5,True,114.112,1:54.112
12,Sebastian VETTEL,5,False,294.453,4:54.453
13,Sebastian VETTEL,5,False,91.095,1:31.095
14,Sebastian VETTEL,5,False,123.627,2:03.627
1,Kimi RAIKKONEN,7,False,59.0,00:00:59
2,Kimi RAIKKONEN,7,False,92.474,1:32.474
3,Kimi RAIKKONEN,7,False,114.117,1:54.117
4,Kimi RAIKKONEN,7,False,92.647,1:32.647
5,Kimi RAIKKONEN,7,True,113.696,1:53.696
6,Kimi RAIKKONEN,7,False,1076.41,17:56.410
7,Kimi RAIKKONEN,7,False,92.286,1:32.286
8,Kimi RAIKKONEN,7,True,117.608,1:57.608
9,Kimi RAIKKONEN,7,False,414.228,6:54.228
10,Kimi RAIKKONEN,7,True,99.989,1:39.989
11,Kimi RAIKKONEN,7,False,632.227,10:32.227
12,Kimi RAIKKONEN,7,False,91.2,1:31.200
13,Kimi RAIKKONEN,7,True,113.128,1:53.128
14,Kimi RAIKKONEN,7,False,284.097,4:44.097
15,Kimi RAIKKONEN,7,False,91.182,1:31.182
16,Kimi RAIKKONEN,7,False,131.577,2:11.577
1,Romain GROSJEAN,8,False,144.0,00:02:24
2,Romain GROSJEAN,8,False,94.405,1:34.405
3,Romain GROSJEAN,8,False,122.724,2:02.724
4,Romain GROSJEAN,8,False,94.534,1:34.534
5,Romain GROSJEAN,8,True,109.09,1:49.090
6,Romain GROSJEAN,8,False,291.036,4:51.036
7,Romain GROSJEAN,8,False,93.238,1:33.238
8,Romain GROSJEAN,8,True,122.944,2:02.944
9,Romain GROSJEAN,8,False,598.51,9:58.510
10,Romain GROSJEAN,8,True,103.713,1:43.713
11,Romain GROSJEAN,8,False,422.03,7:02.030
12,Romain GROSJEAN,8,False,92.524,1:32.524
13,Romain GROSJEAN,8,True,129.181,2:09.181
14,Romain GROSJEAN,8,False,459.654,7:39.654
15,Romain GROSJEAN,8,False,92.859,1:32.859
16,Romain GROSJEAN,8,True,113.267,1:53.267
17,Romain GROSJEAN,8,False,297.505,4:57.505
18,Romain GROSJEAN,8,False,92.855,1:32.855
19,Romain GROSJEAN,8,True,137.345,2:17.345
1,Marcus ERICSSON,9,False,14.0,00:00:14
2,Marcus ERICSSON,9,False,95.62,1:35.620
3,Marcus ERICSSON,9,True,112.19,1:52.190
4,Marcus ERICSSON,9,False,257.512,4:17.512
5,Marcus ERICSSON,9,False,94.914,1:34.914
6,Marcus ERICSSON,9,True,114.31,1:54.310
7,Marcus ERICSSON,9,False,220.414,3:40.414
8,Marcus ERICSSON,9,False,94.918,1:34.918
9,Marcus ERICSSON,9,True,119.802,1:59.802
1,Pierre GASLY,10,False,36.0,00:00:36
2,Pierre GASLY,10,False,95.016,1:35.016
3,Pierre GASLY,10,True,112.579,1:52.579
4,Pierre GASLY,10,False,248.594,4:08.594
5,Pierre GASLY,10,False,94.308,1:34.308
6,Pierre GASLY,10,True,118.592,1:58.592
7,Pierre GASLY,10,False,224.625,3:44.625
8,Pierre GASLY,10,False,94.101,1:34.101
9,Pierre GASLY,10,True,126.958,2:06.958
1,Sergio PEREZ,11,False,349.0,00:05:49
2,Sergio PEREZ,11,False,93.464,1:33.464
3,Sergio PEREZ,11,True,115.062,1:55.062
4,Sergio PEREZ,11,False,1044.313,17:24.313
5,Sergio PEREZ,11,False,93.484,1:33.484
6,Sergio PEREZ,11,True,114.196,1:54.196
7,Sergio PEREZ,11,False,413.112,6:53.112
8,Sergio PEREZ,11,False,92.931,1:32.931
9,Sergio PEREZ,11,True,118.1,1:58.100
10,Sergio PEREZ,11,True,627.115,10:27.115
11,Sergio PEREZ,11,False,347.175,5:47.175
12,Sergio PEREZ,11,False,92.758,1:32.758
13,Sergio PEREZ,11,True,125.483,2:05.483
1,Fernando ALONSO,14,False,335.0,00:05:35
