lap,name,number,pit,rawtime,strtime
1,Stoffel VANDOORNE,2,False,1630.0,00:27:10
2,Stoffel VANDOORNE,2,False,80.617,1:20.617
3,Stoffel VANDOORNE,2,True,96.999,1:36.999
4,Stoffel VANDOORNE,2,False,108.134,1:48.134
5,Stoffel VANDOORNE,2,False,79.996,1:19.996
6,Stoffel VANDOORNE,2,False,94.268,1:34.268
7,Stoffel VANDOORNE,2,False,79.742,1:19.742
8,Stoffel VANDOORNE,2,True,93.619,1:33.619
9,Stoffel VANDOORNE,2,False,546.855,9:06.855
10,Stoffel VANDOORNE,2,False,93.63,1:33.630
11,Stoffel VANDOORNE,2,False,88.547,1:28.547
12,Stoffel VANDOORNE,2,False,93.229,1:33.229
13,Stoffel VANDOORNE,2,False,87.074,1:27.074
14,Stoffel VANDOORNE,2,False,79.722,1:19.722
15,Stoffel VANDOORNE,2,True,93.066,1:33.066
16,Stoffel VANDOORNE,2,True,608.836,10:08.836
17,Stoffel VANDOORNE,2,False,130.023,2:10.023
18,Stoffel VANDOORNE,2,False,82.82,1:22.820
19,Stoffel VANDOORNE,2,False,85.368,1:25.368
20,Stoffel VANDOORNE,2,False,88.497,1:28.497
21,Stoffel VANDOORNE,2,False,85.368,1:25.368
22,Stoffel VANDOORNE,2,False,84.051,1:24.051
23,Stoffel VANDOORNE,2,False,86.264,1:26.264
24,Stoffel VANDOORNE,2,True,123.253,2:03.253
25,Stoffel VANDOORNE,2,False,120.241,2:00.241
26,Stoffel VANDOORNE,2,False,83.176,1:23.176
27,Stoffel VANDOORNE,2,False,83.197,1:23.197
28,Stoffel VANDOORNE,2,False,83.442,1:23.442
29,Stoffel VANDOORNE,2,False,83.328,1:23.328
30,Stoffel VANDOORNE,2,False,83.422,1:23.422
31,Stoffel VANDOORNE,2,False,84.294,1:24.294
1,Daniel RICCIARDO,3,False,659.0,00:10:59
2,Daniel RICCIARDO,3,False,80.408,1:20.408
3,Daniel RICCIARDO,3,False,107.084,1:47.084
4,Daniel RICCIARDO,3,True,99.317,1:39.317
5,Daniel RICCIARDO,3,False,121.755,2:01.755
6,Daniel RICCIARDO,3,False,79.104,1:19.104
7,Daniel RICCIARDO,3,False,101.535,1:41.535
8,Daniel RICCIARDO,3,False,78.976,1:18.976
9,Daniel RICCIARDO,3,False,102.006,1:42.006
10,Daniel RICCIARDO,3,False,78.392,1:18.392
11,Daniel RICCIARDO,3,True,96.569,1:36.569
12,Daniel RICCIARDO,3,False,712.273,11:52.273
13,Daniel RICCIARDO,3,False,92.205,1:32.205
14,Daniel RICCIARDO,3,False,106.181,1:46.181
