lap,name,number,pit,rawtime,strtime
1,Stoffel VANDOORNE,2,False,72.0,00:01:12
2,Stoffel VANDOORNE,2,False,79.653,1:19.653
3,Stoffel VANDOORNE,2,False,103.84,1:43.840
4,Stoffel VANDOORNE,2,False,79.562,1:19.562
5,Stoffel VANDOORNE,2,True,94.697,1:34.697
6,Stoffel VANDOORNE,2,False,326.248,5:26.248
7,Stoffel VANDOORNE,2,False,79.068,1:19.068
8,Stoffel VANDOORNE,2,False,100.802,1:40.802
9,Stoffel VANDOORNE,2,False,78.885,1:18.885
10,Stoffel VANDOORNE,2,True,103.422,1:43.422
11,Stoffel VANDOORNE,2,False,445.092,7:25.092
12,Stoffel VANDOORNE,2,False,78.491,1:18.491
13,Stoffel VANDOORNE,2,False,97.561,1:37.561
14,Stoffel VANDOORNE,2,False,78.347,1:18.347
15,Stoffel VANDOORNE,2,True,96.947,1:36.947
16,Stoffel VANDOORNE,2,False,292.754,4:52.754
17,Stoffel VANDOORNE,2,False,78.323,1:18.323
18,Stoffel VANDOORNE,2,True,108.11,1:48.110
1,Daniel RICCIARDO,3,False,337.0,00:05:37
2,Daniel RICCIARDO,3,False,78.301,1:18.301
3,Daniel RICCIARDO,3,False,106.546,1:46.546
4,Daniel RICCIARDO,3,False,77.623,1:17.623
5,Daniel RICCIARDO,3,True,93.75,1:33.750
6,Daniel RICCIARDO,3,False,899.367,14:59.367
7,Daniel RICCIARDO,3,False,77.638,1:17.638
8,Daniel RICCIARDO,3,True,104.124,1:44.124
9,Daniel RICCIARDO,3,False,423.162,7:03.162
10,Daniel RICCIARDO,3,False,78.936,1:18.936
11,Daniel RICCIARDO,3,True,96.845,1:36.845
12,Daniel RICCIARDO,3,False,508.751,8:28.751
13,Daniel RICCIARDO,3,False,76.858,1:16.858
14,Daniel RICCIARDO,3,True,97.143,1:37.143
15,Daniel RICCIARDO,3,False,204.12,3:24.120
16,Daniel RICCIARDO,3,False,76.818,1:16.818
17,Daniel RICCIARDO,3,False,104.347,1:44.347
18,Daniel RICCIARDO,3,False,76.829,1:16.829
1,Sebastian VETTEL,5,False,49.0,00:00:49
2,Sebastian VETTEL,5,False,77.806,1:17.806
3,Sebastian VETTEL,5,False,106.557,1:46.557
4,Sebastian VETTEL,5,False,77.724,1:17.724
5,Sebastian VETTEL,5,False,104.038,1:44.038
6,Sebastian VETTEL,5,False,77.031,1:17.031
7,Sebastian VETTEL,5,True,94.441,1:34.441
8,Sebastian VETTEL,5,False,964.134,16:04.134
9,Sebastian VETTEL,5,False,76.802,1:16.802
10,Sebastian VETTEL,5,True,101.365,1:41.365
11,Sebastian VETTEL,5,False,1182.827,19:42.827
