lapNumber,laptime,name,number,pit,stime
1,00:05:59,D. RICCIARDO,3,False,359.0
2,1:41.799,D. RICCIARDO,3,False,101.799
3,1:55.667,D. RICCIARDO,3,True,115.667
4,17:26.076,D. RICCIARDO,3,True,1046.076
5,12:43.618,D. RICCIARDO,3,True,763.618
6,23:23.912,D. RICCIARDO,3,True,1403.912
7,24:33.972,D. RICCIARDO,3,False,1473.972
8,1:47.714,D. RICCIARDO,3,True,107.714
1,00:03:51,S. VETTEL,5,False,231.0
2,1:40.980,S. VETTEL,5,False,100.98
3,1:56.013,S. VETTEL,5,False,116.013
4,1:40.652,S. VETTEL,5,False,100.652
5,1:58.744,S. VETTEL,5,True,118.744
6,2:48.683,S. VETTEL,5,True,168.683
7,14:55.572,S. VETTEL,5,False,895.572
8,8:47.200,S. VETTEL,5,False,527.2
9,2:10.419,S. VETTEL,5,True,130.419
10,16:13.237,S. VETTEL,5,True,973.237
11,2:31.323,S. VETTEL,5,True,151.323
12,2:45.783,S. VETTEL,5,True,165.783
13,2:28.377,S. VETTEL,5,True,148.377
14,2:17.114,S. VETTEL,5,False,137.114
15,1:45.115,S. VETTEL,5,False,105.115
16,1:44.754,S. VETTEL,5,False,104.754
17,1:46.362,S. VETTEL,5,False,106.362
18,1:45.457,S. VETTEL,5,False,105.457
19,1:45.023,S. VETTEL,5,False,105.023
20,1:45.138,S. VETTEL,5,False,105.138
21,1:45.646,S. VETTEL,5,False,105.646
22,1:47.287,S. VETTEL,5,False,107.287
23,1:45.516,S. VETTEL,5,False,105.516
24,2:00.037,S. VETTEL,5,False,120.037
25,1:45.700,S. VETTEL,5,False,105.7
26,1:46.325,S. VETTEL,5,False,106.325
27,1:45.799,S. VETTEL,5,False,105.799
28,1:53.091,S. VETTEL,5,True,113.091
1,00:15:06,N. ROSBERG,6,False,906.0
2,1:40.438,N. ROSBERG,6,False,100.438
3,2:21.736,N. ROSBERG,6,False,141.736
4,1:40.282,N. ROSBERG,6,False,100.282
5,1:50.831,N. ROSBERG,6,True,110.831
6,16:18.953,N. ROSBERG,6,False,978.953
7,1:46.395,N. ROSBERG,6,False,106.395
8,2:06.145,N. ROSBERG,6,False,126.145
9,1:40.218,N. ROSBERG,6,False,100.218
10,1:55.362,N. ROSBERG,6,True,115.362
11,13:29.706,N. ROSBERG,6,True,809.706
12,2:24.144,N. ROSBERG,6,False,144.144
13,1:44.482,N. ROSBERG,6,False,104.482
14,1:44.968,N. ROSBERG,6,False,104.968
15,1:44.751,N. ROSBERG,6,False,104.751
16,1:45.431,N. ROSBERG,6,False,105.431
17,1:45.560,N. ROSBERG,6,False,105.56
18,1:53.550,N. ROSBERG,6,False,113.55
19,1:46.127,N. ROSBERG,6,False,106.127
20,1:45.871,N. ROSBERG,6,False,105.871
21,1:50.550,N. ROSBERG,6,True,110.55
22,2:15.475,N. ROSBERG,6,False,135.475
23,1:44.640,N. ROSBERG,6,False,104.64
24,1:44.630,N. ROSBERG,6,False,104.63
25,1:48.638,N. ROSBERG,6,True,108.638
26,2:34.280,N. ROSBERG,6,True,154.28
1,00:01:31,K. RAIKKONEN,7,False,91.0
2,1:53.853,K. RAIKKONEN,7,False,113.853
3,1:41.002,K. RAIKKONEN,7,False,101.002
4,1:50.194,K. RAIKKONEN,7,False,110.194
5,1:49.139,K. RAIKKONEN,7,True,109.139
6,20:23.524,K. RAIKKONEN,7,False,1223.524
7,9:10.261,K. RAIKKONEN,7,False,550.261
8,1:54.600,K. RAIKKONEN,7,False,114.6
9,1:40.163,K. RAIKKONEN,7,False,100.163
10,1:54.613,K. RAIKKONEN,7,True,114.613
11,2:29.078,K. RAIKKONEN,7,True,149.078
12,14:06.953,K. RAIKKONEN,7,True,846.953
13,2:26.733,K. RAIKKONEN,7,True,146.733
14,2:17.803,K. RAIKKONEN,7,False,137.803
15,1:45.245,K. RAIKKONEN,7,False,105.245
16,1:45.348,K. RAIKKONEN,7,False,105.348
17,1:49.990,K. RAIKKONEN,7,True,109.99
18,2:08.374,K. RAIKKONEN,7,False,128.374
19,1:44.921,K. RAIKKONEN,7,False,104.921
20,1:44.597,K. RAIKKONEN,7,False,104.597
21,1:45.086,K. RAIKKONEN,7,False,105.086
22,1:45.253,K. RAIKKONEN,7,False,105.253
