lapNumber,laptime,name,number,pit,stime
1,00:04:02,D. RICCIARDO,3,False,242.0
2,1:42.045,D. RICCIARDO,3,False,102.045
3,2:01.914,D. RICCIARDO,3,False,121.914
4,1:50.852,D. RICCIARDO,3,True,110.852
5,12:57.457,D. RICCIARDO,3,False,777.457
6,1:40.590,D. RICCIARDO,3,False,100.59
7,1:55.674,D. RICCIARDO,3,True,115.674
8,14:08.651,D. RICCIARDO,3,False,848.651
9,1:44.552,D. RICCIARDO,3,False,104.552
10,1:45.158,D. RICCIARDO,3,False,105.158
11,1:45.480,D. RICCIARDO,3,False,105.48
12,1:45.431,D. RICCIARDO,3,False,105.431
13,1:45.157,D. RICCIARDO,3,False,105.157
14,1:45.673,D. RICCIARDO,3,False,105.673
15,1:47.444,D. RICCIARDO,3,False,107.444
16,1:51.737,D. RICCIARDO,3,True,111.737
17,2:39.160,D. RICCIARDO,3,False,159.16
18,1:45.242,D. RICCIARDO,3,False,105.242
19,1:50.482,D. RICCIARDO,3,True,110.482
1,00:00:03,S. VETTEL,5,True,3.0
2,25:36.133,S. VETTEL,5,False,1536.133
3,1:40.532,S. VETTEL,5,False,100.532
4,1:45.096,S. VETTEL,5,False,105.096
5,1:41.290,S. VETTEL,5,False,101.29
6,1:41.451,S. VETTEL,5,False,101.451
7,1:56.522,S. VETTEL,5,True,116.522
8,2:46.508,S. VETTEL,5,True,166.508
9,15:23.683,S. VETTEL,5,False,923.683
10,1:40.266,S. VETTEL,5,False,100.266
11,1:59.519,S. VETTEL,5,False,119.519
12,1:40.785,S. VETTEL,5,False,100.785
13,2:00.237,S. VETTEL,5,True,120.237
1,00:02:31,N. ROSBERG,6,True,151.0
2,19:24.182,N. ROSBERG,6,False,1164.182
3,1:40.392,N. ROSBERG,6,False,100.392
4,2:14.987,N. ROSBERG,6,False,134.987
5,1:40.252,N. ROSBERG,6,False,100.252
6,2:15.126,N. ROSBERG,6,False,135.126
7,1:40.902,N. ROSBERG,6,False,100.902
8,1:54.416,N. ROSBERG,6,True,114.416
9,14:41.831,N. ROSBERG,6,False,881.831
10,1:39.690,N. ROSBERG,6,False,99.69
11,2:16.609,N. ROSBERG,6,False,136.609
12,1:48.316,N. ROSBERG,6,True,108.316
13,2:40.467,N. ROSBERG,6,True,160.467
1,00:00:14,K. RAIKKONEN,7,True,14.0
2,9:55.307,K. RAIKKONEN,7,False,595.307
3,1:58.667,K. RAIKKONEN,7,False,118.667
4,2:18.506,K. RAIKKONEN,7,True,138.506
5,35:40.163,K. RAIKKONEN,7,False,2140.163
6,1:40.245,K. RAIKKONEN,7,False,100.245
7,2:02.275,K. RAIKKONEN,7,False,122.275
8,1:40.869,K. RAIKKONEN,7,False,100.869
9,1:53.253,K. RAIKKONEN,7,True,113.253
1,00:00:21,R. GROSJEAN,8,True,21.0
2,9:42.674,R. GROSJEAN,8,False,582.674
3,1:56.129,R. GROSJEAN,8,False,116.129
4,1:42.276,R. GROSJEAN,8,False,102.276
5,1:55.545,R. GROSJEAN,8,False,115.545
6,1:55.752,R. GROSJEAN,8,True,115.752
