lapNumber,laptime,name,number,pit,stime
1,00:00:56,D. RICCIARDO,3,False,56.0
2,1:35.047,D. RICCIARDO,3,False,95.047
3,1:49.740,D. RICCIARDO,3,False,109.74
4,1:34.743,D. RICCIARDO,3,False,94.743
5,1:45.660,D. RICCIARDO,3,True,105.66
6,4:09.366,D. RICCIARDO,3,False,249.366
7,1:34.272,D. RICCIARDO,3,False,94.272
8,1:50.486,D. RICCIARDO,3,True,110.486
9,13:51.737,D. RICCIARDO,3,False,831.737
10,1:33.987,D. RICCIARDO,3,False,93.987
11,1:48.319,D. RICCIARDO,3,True,108.319
12,4:12.845,D. RICCIARDO,3,False,252.845
13,1:33.749,D. RICCIARDO,3,False,93.749
14,1:59.504,D. RICCIARDO,3,True,119.504
15,9:25.072,D. RICCIARDO,3,False,565.072
16,1:33.943,D. RICCIARDO,3,False,93.943
17,1:44.239,D. RICCIARDO,3,True,104.239
18,4:02.144,D. RICCIARDO,3,False,242.144
19,1:33.563,D. RICCIARDO,3,False,93.563
20,2:07.338,D. RICCIARDO,3,True,127.338
1,00:04:04,S. VETTEL,5,False,244.0
2,1:34.978,S. VETTEL,5,False,94.978
3,1:52.774,S. VETTEL,5,False,112.774
4,1:34.347,S. VETTEL,5,False,94.347
5,1:45.051,S. VETTEL,5,True,105.051
6,5:02.395,S. VETTEL,5,False,302.395
7,1:33.562,S. VETTEL,5,False,93.562
8,1:59.910,S. VETTEL,5,True,119.91
9,13:43.425,S. VETTEL,5,False,823.425
10,1:33.641,S. VETTEL,5,False,93.641
11,1:51.444,S. VETTEL,5,False,111.444
12,1:47.274,S. VETTEL,5,True,107.274
13,12:01.167,S. VETTEL,5,False,721.167
14,1:33.547,S. VETTEL,5,False,93.547
15,1:49.654,S. VETTEL,5,True,109.654
16,3:53.005,S. VETTEL,5,False,233.005
17,1:35.372,S. VETTEL,5,False,95.372
18,2:04.808,S. VETTEL,5,True,124.808
1,00:01:17,N. ROSBERG,6,False,77.0
2,1:33.654,N. ROSBERG,6,False,93.654
3,1:57.097,N. ROSBERG,6,False,117.097
4,1:33.475,N. ROSBERG,6,False,93.475
5,1:37.896,N. ROSBERG,6,True,97.896
6,20:49.429,N. ROSBERG,6,False,1249.429
7,1:32.737,N. ROSBERG,6,False,92.737
8,1:57.128,N. ROSBERG,6,True,117.128
9,18:10.821,N. ROSBERG,6,False,1090.821
10,1:32.361,N. ROSBERG,6,False,92.361
11,1:38.087,N. ROSBERG,6,True,98.087
12,4:05.522,N. ROSBERG,6,False,245.522
13,1:32.858,N. ROSBERG,6,False,92.858
14,1:53.507,N. ROSBERG,6,True,113.507
1,00:03:53,K. RAIKKONEN,7,False,233.0
2,1:34.496,K. RAIKKONEN,7,False,94.496
3,1:52.890,K. RAIKKONEN,7,False,112.89
4,1:34.341,K. RAIKKONEN,7,False,94.341
5,1:44.612,K. RAIKKONEN,7,True,104.612
6,4:27.600,K. RAIKKONEN,7,False,267.6
7,1:33.426,K. RAIKKONEN,7,False,93.426
8,1:51.753,K. RAIKKONEN,7,True,111.753
9,14:27.102,K. RAIKKONEN,7,False,867.102
10,1:34.036,K. RAIKKONEN,7,False,94.036
11,1:50.859,K. RAIKKONEN,7,False,110.859
12,1:33.911,K. RAIKKONEN,7,False,93.911
13,1:57.559,K. RAIKKONEN,7,True,117.559
14,9:54.781,K. RAIKKONEN,7,False,594.781
15,1:33.379,K. RAIKKONEN,7,False,93.379
16,1:47.653,K. RAIKKONEN,7,True,107.653
17,4:07.243,K. RAIKKONEN,7,False,247.243
18,1:33.498,K. RAIKKONEN,7,False,93.498
19,2:04.954,K. RAIKKONEN,7,True,124.954
1,00:12:04,R. GROSJEAN,8,False,724.0
2,1:34.646,R. GROSJEAN,8,False,94.646
3,1:45.205,R. GROSJEAN,8,True,105.205
4,13:55.613,R. GROSJEAN,8,False,835.613
5,1:34.430,R. GROSJEAN,8,False,94.43
6,1:43.428,R. GROSJEAN,8,True,103.428
7,4:43.716,R. GROSJEAN,8,False,283.716
8,1:34.289,R. GROSJEAN,8,False,94.289
9,1:52.119,R. GROSJEAN,8,True,112.119
1,00:04:14,M. ERICSSON,9,False,254.0
2,1:35.294,M. ERICSSON,9,False,95.294
3,1:53.334,M. ERICSSON,9,False,113.334
4,1:35.739,M. ERICSSON,9,False,95.739
5,1:42.572,M. ERICSSON,9,True,102.572
6,4:22.146,M. ERICSSON,9,False,262.146
7,1:34.643,M. ERICSSON,9,False,94.643
8,1:49.496,M. ERICSSON,9,True,109.496
9,10:09.275,M. ERICSSON,9,False,609.275
10,1:46.193,M. ERICSSON,9,True,106.193
11,6:25.634,M. ERICSSON,9,False,385.634
12,1:34.868,M. ERICSSON,9,False,94.868
13,1:48.876,M. ERICSSON,9,True,108.876
1,00:01:33,S. PEREZ,11,False,93.0
2,1:35.805,S. PEREZ,11,False,95.805
3,1:49.993,S. PEREZ,11,False,109.993
4,1:35.724,S. PEREZ,11,False,95.724
5,1:45.646,S. PEREZ,11,True,105.646
6,4:33.117,S. PEREZ,11,False,273.117
7,1:34.250,S. PEREZ,11,False,94.25
8,1:45.657,S. PEREZ,11,True,105.657
9,12:30.028,S. PEREZ,11,False,750.028
10,1:34.268,S. PEREZ,11,False,94.268
11,1:48.684,S. PEREZ,11,True,108.684
12,5:44.817,S. PEREZ,11,False,344.817
13,1:34.084,S. PEREZ,11,False,94.084
14,2:11.181,S. PEREZ,11,True,131.181
1,00:03:46,F. NASR,12,False,226.0
2,1:35.915,F. NASR,12,False,95.915
3,1:51.160,F. NASR,12,False,111.16
4,1:40.650,F. NASR,12,True,100.65
5,6:04.452,F. NASR,12,False,364.452
6,1:34.888,F. NASR,12,False,94.888
7,1:50.330,F. NASR,12,True,110.33
1,00:01:06,P. MALDONADO,13,False,66.0
2,1:35.705,P. MALDONADO,13,False,95.705
3,1:47.968,P. MALDONADO,13,False,107.968
4,1:35.511,P. MALDONADO,13,False,95.511
5,1:46.428,P. MALDONADO,13,True,106.428
6,3:31.566,P. MALDONADO,13,False,211.566
7,1:35.463,P. MALDONADO,13,False,95.463
8,1:45.297,P. MALDONADO,13,False,105.297
9,1:34.877,P. MALDONADO,13,False,94.877
10,1:46.222,P. MALDONADO,13,True,106.222
11,10:55.115,P. MALDONADO,13,False,655.115
12,1:34.703,P. MALDONADO,13,False,94.703
13,1:45.467,P. MALDONADO,13,True,105.467
14,4:54.303,P. MALDONADO,13,False,294.303
15,1:34.511,P. MALDONADO,13,False,94.511
16,1:53.361,P. MALDONADO,13,True,113.361
1,00:02:49,F. ALONSO,14,False,169.0
2,1:37.853,F. ALONSO,14,True,97.853
3,2:15.793,F. ALONSO,14,False,135.793
4,1:35.329,F. ALONSO,14,False,95.329
5,1:43.740,F. ALONSO,14,True,103.74
6,4:49.618,F. ALONSO,14,False,289.618
7,1:34.959,F. ALONSO,14,False,94.959
8,2:04.664,F. ALONSO,14,True,124.664
1,00:01:26,F. MASSA,19,False,86.0
2,1:40.578,F. MASSA,19,False,100.578
3,1:34.542,F. MASSA,19,False,94.542
4,1:49.663,F. MASSA,19,False,109.663
5,1:38.682,F. MASSA,19,False,98.682
6,1:41.771,F. MASSA,19,True,101.771
7,5:56.680,F. MASSA,19,False,356.68
8,1:34.697,F. MASSA,19,True,94.697
9,9:11.827,F. MASSA,19,False,551.827
10,1:54.758,F. MASSA,19,False,114.758
11,1:34.023,F. MASSA,19,False,94.023
12,1:47.479,F. MASSA,19,True,107.479
13,4:09.498,F. MASSA,19,False,249.498
14,1:33.707,F. MASSA,19,False,93.707
15,1:54.080,F. MASSA,19,True,114.08
16,11:23.060,F. MASSA,19,False,683.06
17,1:33.342,F. MASSA,19,False,93.342
18,1:41.982,F. MASSA,19,True,101.982
19,3:29.390,F. MASSA,19,False,209.39
20,1:33.085,F. MASSA,19,False,93.085
21,2:04.422,F. MASSA,19,True,124.422
1,00:01:10,J. BUTTON,22,False,70.0
2,1:35.942,J. BUTTON,22,False,95.942
3,1:48.521,J. BUTTON,22,True,108.521
4,3:25.040,J. BUTTON,22,False,205.04
