lapNumber,laptime,name,number,pit,stime
1,00:01:45,D. RICCIARDO,3,False,105.0
2,1:41.489,D. RICCIARDO,3,False,101.489
3,2:05.381,D. RICCIARDO,3,True,125.381
4,4:35.292,D. RICCIARDO,3,False,275.292
5,1:40.504,D. RICCIARDO,3,False,100.504
6,2:16.847,D. RICCIARDO,3,True,136.847
7,10:14.849,D. RICCIARDO,3,False,614.849
8,1:41.085,D. RICCIARDO,3,False,101.085
9,2:20.547,D. RICCIARDO,3,True,140.547
10,46:21.355,D. RICCIARDO,3,False,2781.355
11,2:02.271,D. RICCIARDO,3,False,122.271
12,1:53.317,D. RICCIARDO,3,False,113.317
13,2:02.687,D. RICCIARDO,3,True,122.687
14,2:38.121,D. RICCIARDO,3,False,158.121
15,1:51.541,D. RICCIARDO,3,False,111.541
16,2:29.834,D. RICCIARDO,3,True,149.834
1,00:03:20,S. VETTEL,5,False,200.0
2,1:39.814,S. VETTEL,5,False,99.814
3,2:00.733,S. VETTEL,5,True,120.733
4,17:15.388,S. VETTEL,5,False,1035.388
5,1:39.632,S. VETTEL,5,False,99.632
6,2:22.515,S. VETTEL,5,True,142.515
7,46:23.411,S. VETTEL,5,False,2783.411
8,1:53.178,S. VETTEL,5,False,113.178
9,1:51.617,S. VETTEL,5,False,111.617
10,2:00.338,S. VETTEL,5,True,120.338
11,2:21.150,S. VETTEL,5,False,141.15
12,1:49.908,S. VETTEL,5,False,109.908
13,2:17.398,S. VETTEL,5,True,137.398
1,00:01:11,N. ROSBERG,6,False,71.0
2,1:39.374,N. ROSBERG,6,False,99.374
3,2:07.760,N. ROSBERG,6,True,127.76
4,19:24.097,N. ROSBERG,6,False,1164.097
5,1:39.377,N. ROSBERG,6,False,99.377
6,2:55.468,N. ROSBERG,6,True,175.468
7,45:58.014,N. ROSBERG,6,False,2758.014
8,1:51.066,N. ROSBERG,6,False,111.066
9,2:01.073,N. ROSBERG,6,True,121.073
10,2:36.747,N. ROSBERG,6,False,156.747
11,2:26.994,N. ROSBERG,6,False,146.994
12,1:50.299,N. ROSBERG,6,False,110.299
13,2:26.299,N. ROSBERG,6,True,146.299
1,00:03:46,K. RAIKKONEN,7,False,226.0
2,1:40.415,K. RAIKKONEN,7,False,100.415
3,1:50.345,K. RAIKKONEN,7,False,110.345
4,1:48.866,K. RAIKKONEN,7,True,108.866
5,15:20.163,K. RAIKKONEN,7,False,920.163
6,1:42.173,K. RAIKKONEN,7,False,102.173
7,2:14.462,K. RAIKKONEN,7,True,134.462
1,00:02:27,R. GROSJEAN,8,False,147.0
2,1:42.298,R. GROSJEAN,8,False,102.298
3,1:56.802,R. GROSJEAN,8,False,116.802
4,1:41.376,R. GROSJEAN,8,False,101.376
5,1:52.464,R. GROSJEAN,8,True,112.464
6,5:17.011,R. GROSJEAN,8,False,317.011
7,1:40.303,R. GROSJEAN,8,False,100.303
8,1:56.859,R. GROSJEAN,8,True,116.859
9,6:02.146,R. GROSJEAN,8,False,362.146
10,1:41.209,R. GROSJEAN,8,False,101.209
11,2:28.786,R. GROSJEAN,8,True,148.786
12,46:00.606,R. GROSJEAN,8,False,2760.606
13,2:06.981,R. GROSJEAN,8,True,126.981
14,2:20.316,R. GROSJEAN,8,False,140.316
15,1:58.598,R. GROSJEAN,8,True,118.598
16,2:29.688,R. GROSJEAN,8,False,149.688
17,1:52.981,R. GROSJEAN,8,False,112.981
18,2:20.279,R. GROSJEAN,8,True,140.279
1,00:02:31,M. ERICSSON,9,False,151.0
2,1:41.531,M. ERICSSON,9,False,101.531
3,2:01.514,M. ERICSSON,9,False,121.514
4,1:41.454,M. ERICSSON,9,False,101.454
5,1:57.658,M. ERICSSON,9,True,117.658
6,4:36.631,M. ERICSSON,9,False,276.631
7,1:40.340,M. ERICSSON,9,False,100.34
8,1:59.259,M. ERICSSON,9,True,119.259
9,6:16.023,M. ERICSSON,9,False,376.023
10,1:41.748,M. ERICSSON,9,False,101.748
11,2:31.279,M. ERICSSON,9,True,151.279
12,46:01.470,M. ERICSSON,9,False,2761.47
13,1:59.219,M. ERICSSON,9,False,119.219
14,2:08.852,M. ERICSSON,9,True,128.852
15,2:27.586,M. ERICSSON,9,False,147.586
16,1:53.261,M. ERICSSON,9,False,113.261
17,1:54.447,M. ERICSSON,9,False,114.447
18,2:22.034,M. ERICSSON,9,True,142.034
1,00:01:05,S. PEREZ,11,False,65.0
2,1:41.981,S. PEREZ,11,False,101.981
3,2:02.267,S. PEREZ,11,False,122.267
4,1:41.655,S. PEREZ,11,False,101.655
5,1:56.405,S. PEREZ,11,True,116.405
6,4:59.078,S. PEREZ,11,False,299.078
7,1:41.036,S. PEREZ,11,False,101.036
8,2:02.162,S. PEREZ,11,True,122.162
9,7:38.035,S. PEREZ,11,False,458.035
10,1:43.469,S. PEREZ,11,False,103.469
11,2:31.614,S. PEREZ,11,True,151.614
1,00:02:35,F. NASR,12,False,155.0
2,1:41.308,F. NASR,12,False,101.308
3,2:01.634,F. NASR,12,False,121.634
4,1:41.914,F. NASR,12,False,101.914
5,1:55.088,F. NASR,12,True,115.088
6,4:48.413,F. NASR,12,False,288.413
7,1:57.596,F. NASR,12,True,117.596
1,00:02:52,P. MALDONADO,13,False,172.0
2,1:41.599,P. MALDONADO,13,False,101.599
3,1:53.487,P. MALDONADO,13,False,113.487
4,1:42.308,P. MALDONADO,13,False,102.308
5,1:50.496,P. MALDONADO,13,True,110.496
